NU,Archetype,EEM_Level,EUI,Htg,Clg,DHW,Ltg,Equip,F+P,PV
RS-I1,RS-I1,DEFAULT,190.6,44.5,8.8,40.2,8.8,73.0,10.7,3.5
RS-I1,RS-I1,EEM1,163.5,15.5,11.1,39.9,8.7,73.0,10.5,104.8
RS-I1,RS-I1,EEM2,153.2,4.6,11.7,39.9,8.7,73.0,10.5,104.8
RS-I1,RS-I1,EEM3,129.6,6.9,11.6,14.1,8.7,73.0,10.6,104.8
RS-I1,RS-I1,EEM4,101.0,8.3,7.7,14.2,3.8,52.9,9.3,104.8
RS-S,RS-S,DEFAULT,200.0,38.9,9.0,37.4,7.8,92.5,9.8,0.0
RS-S,RS-S,EEM1,183.5,22.9,9.9,36.4,7.8,92.5,9.4,93.8
RS-S,RS-S,EEM2,168.5,8.0,9.0,36.5,7.8,92.5,10.1,93.8
RS-S,RS-S,EEM3,146.9,12.2,9.0,10.6,7.8,92.5,10.2,93.8
RS-S,RS-S,EEM4,122.2,14.0,7.0,10.6,4.0,72.2,9.8,93.8
RS-I2,RS-I2,DEFAULT,158.2,40.2,9.2,31.1,9.9,53.1,9.8,6.2
RS-I2,RS-I2,EEM1,132.4,14.2,10.2,31.1,9.7,53.1,9.2,81.1
RS-I2,RS-I2,EEM2,123.0,4.5,10.6,31.1,9.7,53.1,9.2,81.1
RS-I2,RS-I2,EEM3,104.9,6.1,10.4,11.4,9.7,53.1,9.2,81.1
RS-I2,RS-I2,EEM4,79.2,7.3,7.2,11.4,4.2,35.8,7.8,81.1
RS-I3,RS-I3,DEFAULT,179.1,43.4,8.7,24.3,10.4,76.5,10.7,6.1
RS-I3,RS-I3,EEM1,149.3,15.8,8.8,23.6,10.2,76.5,9.3,128.5
RS-I3,RS-I3,EEM2,138.7,5.0,8.3,23.6,10.2,76.5,10.0,128.5
RS-I3,RS-I3,EEM3,124.1,6.6,8.3,7.3,10.2,76.5,10.1,128.5
RS-I3,RS-I3,EEM4,97.4,8.2,6.3,7.3,4.7,56.5,9.1,128.5
RS-I4,RS-I4,DEFAULT,153.0,36.9,9.5,32.4,9.6,48.5,11.3,6.1
RS-I4,RS-I4,EEM1,124.3,8.2,10.8,32.3,9.5,48.5,10.2,87.1
RS-I4,RS-I4,EEM2,118.9,2.4,11.4,32.3,9.5,48.5,10.0,87.1
RS-I4,RS-I4,EEM3,100.3,3.4,11.2,12.8,9.5,48.5,10.1,87.1
RS-I4,RS-I4,EEM4,73.6,4.8,7.5,12.8,3.9,30.7,8.6,87.1
IC-DC,IC-DC,DEFAULT,3679.2,40.1,440.4,10.5,31.7,2724.3,326.6,4.1
IC-DC,IC-DC,EEM1,3670.9,18.0,445.6,10.5,31.8,2724.2,333.2,155.4
IC-DC,IC-DC,EEM2,3663.8,10.5,445.7,10.5,31.8,2724.2,333.5,155.4
IC-DC,IC-DC,EEM3,3655.9,11.9,445.7,1.2,31.8,2724.2,333.5,155.4
IC-DC,IC-DC,EEM4,3649.6,13.3,445.1,1.2,29.2,2720.2,333.0,155.4
IC-DE,IC-DE,DEFAULT,11965.4,52.3,1373.1,13.2,24.3,9052.1,1111.8,6.2
IC-DE,IC-DE,EEM1,11953.3,30.1,1375.6,13.2,24.4,9052.7,1117.6,113.9
IC-DE,IC-DE,EEM2,11936.8,13.0,1375.6,13.2,24.4,9052.7,1118.1,113.9
IC-DE,IC-DE,EEM3,11927.3,15.0,1375.6,1.7,24.4,9052.7,1118.2,113.9
IC-DE,IC-DE,EEM4,11914.9,15.1,1374.8,1.7,21.1,9044.5,1117.8,113.9
MU-C1,MU-C1,DEFAULT,212.4,42.1,11.8,41.0,13.0,75.4,19.2,3.4
MU-C1,MU-C1,EEM1,188.7,17.1,13.5,41.0,12.9,75.4,18.8,24.9
MU-C1,MU-C1,EEM2,182.1,9.8,13.1,41.0,12.9,75.4,20.0,24.9
MU-C1,MU-C1,EEM3,153.2,14.6,13.1,7.2,12.9,75.4,20.1,24.9
MU-C1,MU-C1,EEM4,128.2,15.5,9.6,7.1,6.1,61.5,18.5,24.9
