NU,Archetype,EEM_Level,EUI,Htg,Clg,DHW,Ltg,Equip,F+P,PV
CC-B,CC-B,DEFAULT,119.4,24.6,5.2,18.3,14.7,34.1,8.0,3.4
CC-B,CC-B,EEM1,112.8,16.5,6.1,18.3,14.7,34.1,8.5,30.5
CC-B,CC-B,EEM2,100.0,3.5,5.8,18.3,14.7,34.1,9.0,30.5
CC-B,CC-B,EEM3,86.7,6.0,5.8,2.6,14.7,34.1,9.1,30.5
CC-B,CC-B,EEM4,64.2,6.3,4.3,2.6,6.7,22.7,7.0,30.5
CC-E1,CC-E1,DEFAULT,95.1,17.1,4.5,12.4,16.4,28.8,7.1,1.7
CC-E1,CC-E1,EEM1,89.4,10.4,4.6,12.4,16.4,28.8,8.0,28.0
CC-E1,CC-E1,EEM2,81.3,2.1,4.5,12.4,16.4,28.8,8.3,28.0
CC-E1,CC-E1,EEM3,71.7,3.3,4.5,1.7,16.4,28.8,8.3,28.0
CC-E1,CC-E1,EEM4,48.6,3.6,3.3,1.7,8.3,17.4,5.7,28.0
CC-E2,CC-E2,DEFAULT,299.6,174.1,13.5,20.9,22.9,32.6,28.4,1.0
CC-E2,CC-E2,EEM1,279.2,154.4,13.0,20.9,22.9,32.6,28.1,51.2
CC-E2,CC-E2,EEM2,144.1,16.3,13.0,20.9,22.9,32.6,31.1,51.2
CC-E2,CC-E2,EEM3,128.8,18.4,13.0,3.5,22.9,32.6,31.2,51.2
CC-E2,CC-E2,EEM4,106.4,17.9,11.4,3.5,12.8,23.7,29.9,51.2
CC-E3,CC-E3,DEFAULT,286.2,157.7,14.5,23.3,21.6,34.5,27.4,0.7
CC-E3,CC-E3,EEM1,269.0,141.0,14.1,23.3,21.6,34.5,27.3,54.4
CC-E3,CC-E3,EEM2,143.4,12.5,14.3,23.3,21.6,34.5,29.9,54.4
CC-E3,CC-E3,EEM3,126.6,13.8,14.3,5.1,21.6,34.5,30.0,54.4
CC-E3,CC-E3,EEM4,106.3,13.4,12.6,5.1,12.0,27.0,28.8,54.4
CC-FD1,CC-FD1,DEFAULT,124.6,29.7,6.1,29.2,12.1,31.0,10.6,0.2
CC-FD1,CC-FD1,EEM1,112.7,14.2,7.6,29.2,12.3,31.0,12.7,8.9
CC-FD1,CC-FD1,EEM2,101.4,1.7,7.6,29.2,12.3,31.0,14.1,8.9
CC-FD1,CC-FD1,EEM3,81.7,2.1,7.6,8.9,12.3,31.0,14.1,8.9
CC-FD1,CC-FD1,EEM4,61.4,2.4,6.2,9.0,6.1,19.6,12.3,8.9
CC-FD2,CC-FD2,DEFAULT,117.6,23.7,6.3,22.9,13.1,33.4,8.5,1.2
CC-FD2,CC-FD2,EEM1,109.6,12.6,7.4,22.9,13.2,33.4,10.5,15.5
CC-FD2,CC-FD2,EEM2,100.3,2.7,7.3,22.9,13.2,33.4,11.2,15.5
CC-FD2,CC-FD2,EEM3,84.8,3.7,7.3,6.4,13.2,33.4,11.3,15.5
CC-FD2,CC-FD2,EEM4,62.3,4.2,5.7,6.4,6.3,21.4,8.8,15.5
