NU,Archetype,EEM_Level,EUI,Htg,Clg,DHW,Ltg,Equip,F+P,PV
CC-B,CC-B,DEFAULT,133.9,41.7,3.0,18.3,14.8,34.1,7.8,2.7
CC-B,CC-B,EEM1,125.8,32.4,3.9,18.3,14.8,34.1,8.2,26.0
CC-B,CC-B,EEM2,101.3,7.4,3.5,18.3,14.8,34.1,9.1,26.0
CC-B,CC-B,EEM3,88.2,9.9,3.5,2.6,14.8,34.1,9.1,26.0
CC-B,CC-B,EEM4,66.8,11.0,2.4,2.7,6.7,22.7,7.2,26.0
CC-E1,CC-E1,DEFAULT,103.8,28.4,2.8,12.4,16.5,28.8,6.8,1.3
CC-E1,CC-E1,EEM1,95.3,19.4,2.8,12.4,16.5,28.8,7.3,23.9
CC-E1,CC-E1,EEM2,79.9,3.4,2.7,12.5,16.5,28.8,7.9,23.9
CC-E1,CC-E1,EEM3,70.3,4.6,2.7,1.7,16.5,28.8,8.0,23.9
CC-E1,CC-E1,EEM4,48.9,5.9,1.9,1.7,8.3,17.4,5.7,23.9
CC-E2,CC-E2,DEFAULT,325.7,206.7,6.8,20.9,23.1,32.6,28.3,0.8
CC-E2,CC-E2,EEM1,303.5,185.1,6.5,20.9,23.0,32.6,27.9,42.6
CC-E2,CC-E2,EEM2,146.9,25.1,6.5,21.0,23.0,32.6,31.4,42.6
CC-E2,CC-E2,EEM3,131.7,27.3,6.5,3.6,23.0,32.6,31.4,42.6
CC-E2,CC-E2,EEM4,110.5,27.5,5.3,3.6,12.8,23.7,30.2,42.6
CC-E3,CC-E3,DEFAULT,310.8,188.3,7.9,23.3,21.8,34.5,27.4,0.6
CC-E3,CC-E3,EEM1,291.6,169.8,7.5,23.3,21.7,34.5,27.1,45.1
CC-E3,CC-E3,EEM2,145.4,20.2,7.8,23.3,21.7,34.5,30.3,45.1
CC-E3,CC-E3,EEM3,128.7,21.6,7.7,5.2,21.7,34.5,30.4,45.1
CC-E3,CC-E3,EEM4,109.0,21.2,6.5,5.2,12.1,27.0,29.3,45.1
CC-FD1,CC-FD1,DEFAULT,142.9,49.8,4.2,29.2,12.8,31.0,10.4,0.2
CC-FD1,CC-FD1,EEM1,128.8,34.1,4.8,29.2,12.5,31.0,11.8,7.6
CC-FD1,CC-FD1,EEM2,100.8,4.2,4.8,29.2,12.5,31.0,13.8,7.6
CC-FD1,CC-FD1,EEM3,81.2,4.7,4.8,9.1,12.5,31.0,13.8,7.6
CC-FD1,CC-FD1,EEM4,61.7,5.3,3.9,9.1,6.3,19.6,12.1,7.6
CC-FD2,CC-FD2,DEFAULT,132.0,40.9,4.0,22.9,13.5,33.4,8.2,0.9
CC-FD2,CC-FD2,EEM1,121.5,28.6,4.6,22.9,13.3,33.4,9.6,13.2
CC-FD2,CC-FD2,EEM2,99.4,5.5,4.5,22.9,13.3,33.4,10.8,13.2
CC-FD2,CC-FD2,EEM3,84.1,6.5,4.5,6.5,13.3,33.4,10.8,13.2
CC-FD2,CC-FD2,EEM4,63.1,7.6,3.4,6.5,6.4,21.4,8.7,13.2
CC-FD3,CC-FD3,DEFAULT,150.4,50.8,4.9,29.5,13.8,34.8,9.5,0.3
CC-FD3,CC-FD3,EEM1,134.5,34.1,5.6,29.5,13.6,34.8,9.9,11.4
CC-FD3,CC-FD3,EEM2,107.2,5.5,5.5,29.5,13.6,34.8,11.3,11.4
CC-FD3,CC-FD3,EEM3,87.8,6.0,5.5,9.6,13.6,34.8,11.4,11.4
CC-FD3,CC-FD3,EEM4,67.1,7.0,4.2,9.6,6.8,23.1,9.3,11.4
CC-S1,CC-S1,DEFAULT,289.9,126.7,5.4,25.6,36.5,56.3,12.0,3.8
CC-S1,CC-S1,EEM1,261.1,94.4,9.3,25.6,36.4,56.3,11.3,110.4
CC-S1,CC-S1,EEM2,198.0,31.5,7.6,25.8,36.4,56.3,12.9,110.4
CC-S1,CC-S1,EEM3,180.5,36.2,7.6,3.6,36.4,56.3,13.0,110.4
CC-S1,CC-S1,EEM4,149.4,40.2,3.9,3.6,17.0,45.8,11.8,110.4
CC-S2,CC-S2,DEFAULT,382.8,149.5,7.2,25.5,63.7,67.6,17.3,2.5
CC-S2,CC-S2,EEM1,346.9,107.1,15.1,25.5,63.7,67.6,15.3,160.2
CC-S2,CC-S2,EEM2,269.9,31.7,11.7,25.7,63.7,67.6,17.5,160.2
CC-S2,CC-S2,EEM3,251.2,35.9,11.7,2.6,63.7,67.6,17.5,160.2
CC-S2,CC-S2,EEM4,201.0,36.4,4.9,2.6,29.6,59.5,16.3,160.2
IC-DC,IC-DC,DEFAULT,3654.3,60.2,413.9,10.5,31.9,2714.3,329.6,3.3
IC-DC,IC-DC,EEM1,3654.5,48.1,418.2,10.5,32.0,2714.7,336.5,139.4
IC-DC,IC-DC,EEM2,3626.2,19.2,418.2,10.6,32.0,2714.7,337.1,139.4
IC-DC,IC-DC,EEM3,3618.1,20.7,418.2,0.9,32.0,2714.6,337.1,139.4
IC-DC,IC-DC,EEM4,3614.3,22.9,417.9,0.9,29.2,2712.1,336.8,139.4
IC-DE,IC-DE,DEFAULT,11867.9,86.6,1292.2,13.2,24.4,9035.3,1120.5,4.9
IC-DE,IC-DE,EEM1,11857.2,69.9,1293.9,13.2,24.5,9035.3,1124.5,101.2
IC-DE,IC-DE,EEM2,11816.6,28.4,1293.8,13.3,24.5,9035.3,1125.5,101.2
IC-DE,IC-DE,EEM3,11806.8,30.6,1293.8,1.3,24.5,9035.3,1125.6,101.2
IC-DE,IC-DE,EEM4,11798.3,32.7,1293.5,1.3,21.2,9028.8,1125.1,101.2
MU-C1,MU-C1,DEFAULT,227.4,80.1,6.0,41.0,11.9,57.8,19.0,2.7
MU-C1,MU-C1,EEM1,195.8,47.6,7.7,41.0,11.9,57.8,18.2,21.6
MU-C1,MU-C1,EEM2,174.3,24.8,7.6,41.1,11.9,57.8,19.6,21.6
MU-C1,MU-C1,EEM3,145.3,30.0,7.6,6.9,11.9,57.8,19.7,21.6
MU-C1,MU-C1,EEM4,122.7,31.2,4.8,6.9,5.5,44.7,18.0,21.6
MU-C2,MU-C2,DEFAULT,154.3,53.6,3.3,33.9,8.1,39.0,9.4,2.0
MU-C2,MU-C2,EEM1,128.8,27.2,4.9,33.9,8.1,39.0,8.7,18.8
MU-C2,MU-C2,EEM2,108.7,6.3,5.2,33.9,8.1,39.0,9.2,18.8
MU-C2,MU-C2,EEM3,85.0,11.3,5.1,5.1,8.1,39.0,9.3,18.8
MU-C2,MU-C2,EEM4,62.4,13.7,2.5,5.1,3.6,23.2,7.5,18.8
MU-HC,MU-HC,EEM1,170.3,60.8,8.1,45.1,8.1,32.2,10.6,38.9
MU-HC,MU-HC,EEM2,129.3,18.4,8.8,45.1,8.1,32.2,11.4,38.9
MU-HC,MU-HC,EEM3,97.9,23.5,8.7,8.6,8.1,32.2,11.4,38.9
MU-HC,MU-HC,EEM4,85.2,25.7,6.6,8.5,3.8,24.8,10.6,38.9
MU-HS,MU-HS,DEFAULT,226.2,105.4,7.0,41.0,10.1,44.4,10.8,1.5
MU-HS,MU-HS,EEM1,200.4,79.8,7.7,40.8,10.1,44.4,10.5,68.1
MU-HS,MU-HS,EEM2,142.2,19.7,8.4,40.9,10.1,44.4,11.9,68.1
MU-HS,MU-HS,EEM3,116.5,22.2,8.2,12.8,10.1,44.4,11.9,68.1
MU-HS,MU-HS,EEM4,100.6,22.0,6.5,12.8,4.9,36.0,11.6,68.1
MU-L,MU-L,DEFAULT,184.7,75.8,5.8,43.7,7.4,37.3,9.9,0.0
MU-L,MU-L,EEM1,161.5,53.1,6.4,43.7,7.4,37.3,8.9,62.3
MU-L,MU-L,EEM2,128.3,17.6,7.6,43.8,7.4,37.3,10.0,62.3
MU-L,MU-L,EEM3,100.7,19.3,7.4,14.7,7.4,37.3,10.0,62.3
MU-L,MU-L,EEM4,87.0,21.3,5.4,14.7,3.1,28.9,9.1,62.3
MU-S1,MU-S1,DEFAULT,217.7,86.2,6.4,43.5,18.2,40.7,10.1,2.2
MU-S1,MU-S1,EEM1,204.5,71.5,8.1,43.5,18.1,40.7,9.8,59.0
MU-S1,MU-S1,EEM2,156.4,21.7,8.2,43.6,18.1,40.7,11.5,59.0
MU-S1,MU-S1,EEM3,128.6,25.4,8.0,12.2,18.1,40.7,11.6,59.0
MU-S1,MU-S1,EEM4,107.9,26.4,5.2,12.2,8.4,32.5,10.7,59.0
MU-S2,MU-S2,DEFAULT,209.3,76.7,7.1,44.2,21.6,32.5,11.0,0.7
MU-S2,MU-S2,EEM1,199.2,65.3,9.0,44.2,21.6,32.5,10.3,83.6
MU-S2,MU-S2,EEM2,151.2,15.5,9.1,44.3,21.6,32.5,12.0,83.6
MU-S2,MU-S2,EEM3,125.0,18.2,8.9,15.5,21.6,32.5,12.1,83.6
MU-S2,MU-S2,EEM4,102.1,19.0,5.5,15.5,9.9,24.6,11.5,83.6
MU-U1,MU-U1,DEFAULT,134.9,45.4,3.1,28.3,7.6,35.9,9.0,1.8
MU-U1,MU-U1,EEM1,108.4,17.9,4.8,28.3,7.6,35.9,8.2,18.0
MU-U1,MU-U1,EEM2,96.2,4.9,5.2,28.3,7.6,35.9,8.6,18.0
MU-U1,MU-U1,EEM3,76.0,9.0,5.2,4.0,7.6,35.9,8.7,18.0
MU-U1,MU-U1,EEM4,52.1,11.5,2.3,4.0,3.3,18.4,6.7,18.0
MU-W,MU-W,DEFAULT,169.9,82.4,3.8,31.3,6.5,33.6,7.4,2.1
MU-W,MU-W,EEM1,150.7,63.9,4.0,31.3,6.6,33.6,6.4,60.7
MU-W,MU-W,EEM2,108.9,20.4,4.7,31.4,6.6,33.6,7.6,60.7
MU-W,MU-W,EEM3,88.9,22.3,4.6,9.6,6.6,33.6,7.6,60.7
MU-W,MU-W,EEM4,79.9,23.6,3.4,9.6,3.1,28.5,7.1,60.7
MU-W2,MU-W2,DEFAULT,154.3,94.6,1.4,13.0,7.9,27.1,5.1,7.6
MU-W2,MU-W2,EEM1,131.4,73.1,1.0,13.0,8.2,27.1,3.8,97.6
MU-W2,MU-W2,EEM2,91.2,32.3,1.0,13.1,8.2,27.1,4.6,97.6
MU-W2,MU-W2,EEM3,81.3,34.2,1.0,1.1,8.2,27.1,4.6,97.6
MU-W2,MU-W2,EEM4,76.1,36.9,0.7,1.2,4.0,24.0,4.3,97.6
RC-D,RC-D,DEFAULT,164.7,79.7,4.0,22.1,4.7,46.6,6.8,0.0
RC-D,RC-D,EEM1,122.8,38.2,4.7,21.6,4.7,46.6,6.2,87.3
RC-D,RC-D,EEM2,101.0,15.7,4.2,21.6,4.7,46.6,7.4,87.3
RC-D,RC-D,EEM3,89.1,18.5,4.2,6.8,4.7,46.6,7.6,87.3
RC-D,RC-D,EEM4,71.0,21.6,3.2,6.8,2.6,28.3,7.6,87.3
RC-HR1,RC-HR1,DEFAULT,123.6,32.5,6.8,48.2,4.3,19.2,9.6,1.5
RC-HR1,RC-HR1,EEM1,113.9,21.2,8.5,48.2,4.3,19.2,9.4,38.1
RC-HR1,RC-HR1,EEM2,101.8,7.2,10.0,48.2,4.3,19.2,9.8,38.1
RC-HR1,RC-HR1,EEM3,69.6,10.9,9.9,12.4,4.3,19.2,9.9,38.1
RC-HR1,RC-HR1,EEM4,56.2,12.4,6.8,12.4,1.7,11.0,8.7,38.1
RC-HR2,RC-HR2,DEFAULT,127.7,31.5,7.1,51.8,3.9,19.0,10.7,2.7
RC-HR2,RC-HR2,EEM1,117.6,19.1,9.4,51.8,3.9,19.0,10.5,25.9
