,Neighbourhood,RC-R,RC-R,RC-D,RC-D,RC-ML,RC-ML,RC-T,RC-T,RC-MR1,RC-MR1,RC-MR2,RC-MR2,RC-MR3,RC-MR3,RC-HR1,RC-HR1,RC-HR2,RC-HR2,RS-S,RS-S,RS-I1,RS-I1,RS-I2,RS-I2,RS-I3,RS-I3,RS-I4,RS-I4,MU-C1,MU-C1,MU-C2,MU-C2,MU-U1,MU-U1,MU-L,MU-L,MU-S1,MU-S1,MU-S2,MU-S2,MU-W,MU-W,MU-W2,MU-W2,MU-HS,MU-HS,MU-HC,MU-HC,CC-S1,CC-S1,CC-S2,CC-S2,CC-B,CC-B,CC-E1,CC-E1,CC-E2,CC-E2,CC-E3,CC-E3,CC-FD1,CC-FD1,CC-FD2,CC-FD2,CC-FD3,CC-FD3,IC-DE,IC-DE,IC-DC,IC-DC
Config.,EV Integration Scenario,EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled),EV1 (Charging-Only),EV2 (V2G-Enabled)
Config.,EV Penetration Rate,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-,1.5 EVs / household,-
Config.,Daily Energy Demand (200 km Range),15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-,15 kWh / EV,-
Config.,Charging Efficiency,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-
Config.,V2G Participation Rate,-,50%,-,50%,-,50%,-,50%,-,50%,-,50%,-,50%,-,50%,-,50%,-,50%,-,50%,-,50%,-,50%,-,50%,-,50%,-,50%,-,50%,-,50%,-,50%,-,50%,-,50%,-,50%,-,50%,-,50%,-,50%,-,50%,-,50%,-,50%,-,50%,-,50%,-,50%,-,50%,-,50%,-,50%,-,50%
Config.,Battery Efficiency,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%,-,90%
Config.,Discharge Capacity,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day,-,10 kW / day
Parameters, # HHs,24,24,48,48,52,52,56,56,156,156,256,256,384,384,448,448,640,640,40,40,110,110,160,160,28,28,160,160,960,960,1280,1280,1280,1280,128,128,160,160,160,160,64,64,0,0,110,110,384,384,0,0,0,0,0,0,32,32,32,32,96,96,0,0,0,0,0,0,0,0,0,0
Parameters,Total floor area,7949,7949,15899,15899,15509,15509,15120,15120,16964,16964,18808,18808,28212,28212,14106,14106,9404,9404,14491,14491,16835,16835,29489,29489,11850,11850,22406,22406,44200,44200,72337,72337,58948,58948,15430,15430,28109,28109,18184,18184,11699,11699,15223,15223,17983,17983,24081,24081,13177,13177,6094,6094,68519,68519,76341,76341,46648,46648,50527,50527,424254,424254,199413,199413,298513,298513,11555,11555,9346,9346
Results,Total EV Energy Demand (kWh/day),600,600,1200,1200,1300,1300,1400,1400,3900,3900,6400,6400,9600,9600,11200,11200,16000,16000,1000,1000,2750,2750,4000,4000,700,700,4000,4000,24000,24000,32000,32000,32000,32000,3200,3200,4000,4000,4000,4000,1600,1600,0,0,2750,2750,9600,9600,0,0,0,0,0,0,800,800,800,800,2400,2400,0,0,0,0,0,0,0,0,0,0
